商談ID,顧客企業名,商談発生日,クローズ日,最終活動日,業種,製品,商談区分,リード獲得元,エリア,企業規模,ステージ番号,ステージ,ステータス番号,ステータス,受注確度,失注理由,営業チーム,営業担当,金額,商談名,次のアクション
OPP-202404-00020,みなと商事,2024-04-29,2024-08-01,2024-05-06,公共,スマート勤怠,新規,展示会,関東,中堅,6,クロージング,3,失注,0,価格,西日本営業部,松本,3160000,みなと商事 スマート勤怠導入,
OPP-202404-00021,北斗フーズ,2024-04-09,2024-06-16,2024-05-27,金融,スマート勤怠,更新,Web,関東,大企業,6,クロージング,2,受注,100,,第一営業部,加藤,8960000,北斗フーズ スマート勤怠導入,
OPP-202404-00022,山田製作所,2024-04-18,2024-08-16,2024-08-10,製造,統合ダッシュボード,更新,インバウンド,中部,大企業,6,クロージング,3,失注,0,予算,第一営業部,中村,9350000,山田製作所 統合ダッシュボード導入,
OPP-202404-00023,つばさ運輸,2024-04-24,2024-07-26,2024-07-23,IT,統合ダッシュボード,更新,インバウンド,関東,中小,6,クロージング,2,受注,100,,第一営業部,小林,570000,つばさ運輸 統合ダッシュボード導入,
OPP-202404-00024,つばさ運輸,2024-04-02,2024-07-12,2024-07-10,IT,クラウド経費,新規,Web,関東,大企業,6,クロージング,3,失注,0,価格,第一営業部,小林,9560000,つばさ運輸 クラウド経費導入,
OPP-202404-00025,湊エレクトロニクス,2024-04-17,2024-09-05,2024-07-07,製造,スマート勤怠,更新,展示会,関西,中小,6,クロージング,2,受注,100,,第一営業部,加藤,1410000,湊エレクトロニクス スマート勤怠導入,
OPP-202404-00026,曙建設,2024-04-17,2024-08-18,2024-08-17,製造,スマート勤怠,既存深耕,Web,中部,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,4400000,曙建設 スマート勤怠導入,
OPP-202404-00027,みなと商事,2024-04-30,2024-09-04,2024-08-24,公共,スマート勤怠,新規,紹介,関東,大企業,6,クロージング,3,失注,0,価格,第一営業部,小林,8820000,みなと商事 スマート勤怠導入,
OPP-202404-00028,山田製作所,2024-04-10,2024-06-22,2024-05-17,製造,スマート勤怠,更新,Web,関東,中堅,6,クロージング,3,失注,0,競合,西日本営業部,松本,4240000,山田製作所 スマート勤怠導入,
OPP-202404-00029,つばさ運輸,2024-04-11,2024-09-04,2024-05-31,公共,スマート勤怠,新規,展示会,関東,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,4670000,つばさ運輸 スマート勤怠導入,
OPP-202405-00030,つばさ運輸,2024-05-23,2024-11-01,2024-10-13,製造,クラウド経費,更新,インバウンド,中部,中小,6,クロージング,2,受注,100,,第一営業部,加藤,930000,つばさ運輸 クラウド経費導入,
OPP-202405-00031,北斗フーズ,2024-05-30,2024-11-05,2024-10-18,IT,クラウド経費,更新,Web,九州,中小,6,クロージング,2,受注,100,,第一営業部,加藤,1440000,北斗フーズ クラウド経費導入,
OPP-202405-00032,富士見物産,2024-05-29,2024-07-17,2024-06-14,流通,クラウド経費,更新,紹介,中部,中堅,6,クロージング,3,失注,0,価格,第一営業部,小林,2630000,富士見物産 クラウド経費導入,
OPP-202405-00033,北斗フーズ,2024-05-29,2024-10-13,2024-06-04,製造,クラウド経費,既存深耕,展示会,関東,中堅,6,クロージング,2,受注,100,,第一営業部,中村,4910000,北斗フーズ クラウド経費導入,
OPP-202405-00034,大和精密,2024-05-13,2024-10-14,2024-09-02,公共,統合ダッシュボード,更新,紹介,中部,中堅,6,クロージング,2,受注,100,,第一営業部,中村,3480000,大和精密 統合ダッシュボード導入,
OPP-202405-00035,青葉システムズ,2024-05-01,2024-06-06,2024-05-29,公共,統合ダッシュボード,更新,インバウンド,関西,中小,6,クロージング,2,受注,100,,第一営業部,加藤,640000,青葉システムズ 統合ダッシュボード導入,
OPP-202405-00036,大和精密,2024-05-28,2024-07-17,2024-07-15,流通,スマート勤怠,新規,Web,関東,中小,6,クロージング,2,受注,100,,西日本営業部,松本,1680000,大和精密 スマート勤怠導入,
OPP-202405-00037,つばさ運輸,2024-05-02,2024-08-01,2024-07-27,金融,クラウド経費,既存深耕,Web,九州,大企業,6,クロージング,2,受注,100,,第一営業部,中村,4170000,つばさ運輸 クラウド経費導入,
OPP-202405-00038,大和精密,2024-05-31,2024-11-25,2024-08-19,公共,スマート勤怠,既存深耕,Web,関東,中小,6,クロージング,2,受注,100,,西日本営業部,山本,1770000,大和精密 スマート勤怠導入,
OPP-202405-00039,青葉システムズ,2024-05-22,2024-07-21,2024-06-28,IT,スマート勤怠,既存深耕,インバウンド,関東,中堅,6,クロージング,3,失注,0,予算,第一営業部,加藤,2770000,青葉システムズ スマート勤怠導入,
OPP-202405-00040,湊エレクトロニクス,2024-05-14,2024-07-22,2024-07-20,金融,スマート勤怠,既存深耕,Web,関東,中堅,6,クロージング,2,受注,100,,西日本営業部,松本,4330000,湊エレクトロニクス スマート勤怠導入,
OPP-202405-00041,湊エレクトロニクス,2024-05-09,2024-10-01,2024-09-05,公共,クラウド経費,更新,Web,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,松本,8830000,湊エレクトロニクス クラウド経費導入,
OPP-202405-00042,山田製作所,2024-05-20,2024-11-08,2024-07-08,流通,スマート勤怠,既存深耕,紹介,関東,大企業,6,クロージング,2,受注,100,,第一営業部,小林,3870000,山田製作所 スマート勤怠導入,
OPP-202405-00043,湊エレクトロニクス,2024-05-08,2024-08-08,2024-07-22,公共,クラウド経費,既存深耕,Web,中部,大企業,6,クロージング,2,受注,100,,第一営業部,加藤,6770000,湊エレクトロニクス クラウド経費導入,
OPP-202405-00044,青葉システムズ,2024-05-16,2024-07-15,2024-07-04,IT,クラウド経費,新規,紹介,関東,大企業,6,クロージング,3,失注,0,時期,西日本営業部,松本,4960000,青葉システムズ クラウド経費導入,
OPP-202405-00045,曙建設,2024-05-07,2024-10-20,2024-05-19,IT,クラウド経費,新規,展示会,関東,大企業,6,クロージング,2,受注,100,,第一営業部,中村,3550000,曙建設 クラウド経費導入,
OPP-202405-00046,富士見物産,2024-05-10,2024-07-08,2024-06-05,製造,スマート勤怠,新規,Web,関東,中小,6,クロージング,3,失注,0,競合,第一営業部,小林,1770000,富士見物産 スマート勤怠導入,
OPP-202405-00047,北斗フーズ,2024-05-21,2024-08-16,2024-07-09,IT,統合ダッシュボード,新規,展示会,関西,中堅,6,クロージング,3,失注,0,競合,第一営業部,加藤,3260000,北斗フーズ 統合ダッシュボード導入,
OPP-202405-00048,大和精密,2024-05-10,2024-07-19,2024-05-20,金融,スマート勤怠,更新,展示会,中部,中堅,6,クロージング,2,受注,100,,第一営業部,中村,1800000,大和精密 スマート勤怠導入,
OPP-202405-00049,曙建設,2024-05-01,2024-10-28,2024-06-21,流通,スマート勤怠,新規,紹介,中部,大企業,6,クロージング,3,失注,0,競合,第一営業部,小林,8570000,曙建設 スマート勤怠導入,
OPP-202405-00050,大和精密,2024-05-08,2024-10-04,2024-08-20,IT,スマート勤怠,新規,紹介,中部,中堅,6,クロージング,3,失注,0,要件不一致,第一営業部,中村,3560000,大和精密 スマート勤怠導入,
OPP-202405-00051,山田製作所,2024-05-16,2024-08-22,2024-08-22,IT,クラウド経費,既存深耕,展示会,関東,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,4870000,山田製作所 クラウド経費導入,
OPP-202405-00052,富士見物産,2024-05-06,2024-08-26,2024-08-24,IT,スマート勤怠,既存深耕,Web,関西,大企業,6,クロージング,3,失注,0,価格,第一営業部,小林,7210000,富士見物産 スマート勤怠導入,
OPP-202405-00053,青葉システムズ,2024-05-23,2024-06-22,2024-06-10,IT,クラウド経費,既存深耕,紹介,関東,中小,6,クロージング,3,失注,0,競合,第一営業部,加藤,430000,青葉システムズ クラウド経費導入,
OPP-202405-00054,富士見物産,2024-05-07,2024-06-13,2024-05-23,金融,クラウド経費,新規,Web,九州,中堅,6,クロージング,3,失注,0,時期,西日本営業部,山本,2590000,富士見物産 クラウド経費導入,
OPP-202405-00055,つばさ運輸,2024-05-01,2024-09-14,2024-08-30,IT,統合ダッシュボード,既存深耕,展示会,中部,中堅,6,クロージング,3,失注,0,価格,西日本営業部,松本,3820000,つばさ運輸 統合ダッシュボード導入,
OPP-202406-00056,曙建設,2024-06-05,2024-07-05,2024-06-15,流通,統合ダッシュボード,更新,紹介,中部,中堅,6,クロージング,2,受注,100,,西日本営業部,松本,4000000,曙建設 統合ダッシュボード導入,
OPP-202406-00057,北斗フーズ,2024-06-19,2024-12-12,2024-10-03,流通,クラウド経費,新規,Web,関東,中小,6,クロージング,2,受注,100,,西日本営業部,山本,410000,北斗フーズ クラウド経費導入,
OPP-202406-00058,青葉システムズ,2024-06-11,2024-10-03,2024-10-01,流通,クラウド経費,更新,インバウンド,関西,大企業,6,クロージング,3,失注,0,予算,第一営業部,加藤,4020000,青葉システムズ クラウド経費導入,
OPP-202406-00059,北斗フーズ,2024-06-17,2024-10-09,2024-10-05,流通,クラウド経費,新規,Web,九州,中堅,6,クロージング,3,失注,0,競合,西日本営業部,山本,2620000,北斗フーズ クラウド経費導入,
OPP-202406-00060,富士見物産,2024-06-21,2024-08-15,2024-08-06,IT,スマート勤怠,新規,Web,九州,中小,6,クロージング,3,失注,0,予算,西日本営業部,松本,1430000,富士見物産 スマート勤怠導入,
OPP-202406-00061,山田製作所,2024-06-06,2024-08-18,2024-07-25,製造,クラウド経費,新規,紹介,関東,中堅,6,クロージング,2,受注,100,,第一営業部,中村,4170000,山田製作所 クラウド経費導入,
OPP-202406-00062,大和精密,2024-06-19,2024-12-16,2024-10-06,流通,クラウド経費,更新,Web,関東,中堅,6,クロージング,2,受注,100,,第一営業部,小林,4530000,大和精密 クラウド経費導入,
OPP-202406-00063,富士見物産,2024-06-28,2024-10-06,2024-09-24,製造,スマート勤怠,新規,紹介,関西,大企業,6,クロージング,2,受注,100,,西日本営業部,松本,10960000,富士見物産 スマート勤怠導入,
OPP-202406-00064,曙建設,2024-06-24,2024-09-26,2024-09-25,公共,統合ダッシュボード,更新,Web,関東,中小,6,クロージング,3,失注,0,予算,第一営業部,中村,650000,曙建設 統合ダッシュボード導入,
OPP-202406-00065,山田製作所,2024-06-21,2024-09-10,2024-08-30,製造,スマート勤怠,既存深耕,Web,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,山本,11970000,山田製作所 スマート勤怠導入,
OPP-202406-00066,大和精密,2024-06-12,2024-11-08,2024-07-19,IT,スマート勤怠,更新,Web,中部,中小,6,クロージング,3,失注,0,予算,第一営業部,中村,870000,大和精密 スマート勤怠導入,
OPP-202406-00067,青葉システムズ,2024-06-28,2024-10-03,2024-09-18,IT,クラウド経費,既存深耕,Web,関東,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,2900000,青葉システムズ クラウド経費導入,
OPP-202406-00068,山田製作所,2024-06-04,2024-09-19,2024-06-19,金融,統合ダッシュボード,新規,Web,関西,中堅,6,クロージング,3,失注,0,価格,第一営業部,加藤,1190000,山田製作所 統合ダッシュボード導入,
OPP-202406-00069,みなと商事,2024-06-10,2024-08-18,2024-06-23,製造,クラウド経費,既存深耕,紹介,九州,中堅,6,クロージング,3,失注,0,予算,第一営業部,加藤,4150000,みなと商事 クラウド経費導入,
OPP-202406-00070,山田製作所,2024-06-14,2024-10-13,2024-07-20,公共,スマート勤怠,既存深耕,展示会,関東,中小,6,クロージング,2,受注,100,,第一営業部,加藤,780000,山田製作所 スマート勤怠導入,
OPP-202406-00071,富士見物産,2024-06-04,2024-07-21,2024-07-10,製造,スマート勤怠,既存深耕,インバウンド,関東,中堅,6,クロージング,3,失注,0,価格,西日本営業部,山本,2100000,富士見物産 スマート勤怠導入,
OPP-202406-00072,北斗フーズ,2024-06-27,2024-08-02,2024-07-20,公共,クラウド経費,新規,インバウンド,九州,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,2210000,北斗フーズ クラウド経費導入,
OPP-202406-00073,大和精密,2024-06-19,2024-11-11,2024-07-01,製造,クラウド経費,既存深耕,Web,関西,中小,6,クロージング,2,受注,100,,第一営業部,中村,1980000,大和精密 クラウド経費導入,
OPP-202406-00074,山田製作所,2024-06-17,2024-10-07,2024-06-26,製造,クラウド経費,既存深耕,Web,関西,中小,6,クロージング,3,失注,0,価格,第一営業部,中村,1890000,山田製作所 クラウド経費導入,
OPP-202406-00075,さくらケミカル,2024-06-21,2024-12-09,2024-08-16,流通,クラウド経費,新規,Web,関東,中小,6,クロージング,3,失注,0,競合,第一営業部,加藤,880000,さくらケミカル クラウド経費導入,
OPP-202406-00076,青葉システムズ,2024-06-14,2024-08-06,2024-06-20,流通,スマート勤怠,既存深耕,Web,関東,大企業,6,クロージング,3,失注,0,競合,西日本営業部,山本,10620000,青葉システムズ スマート勤怠導入,
OPP-202406-00077,湊エレクトロニクス,2024-06-24,2024-08-06,2024-08-02,製造,統合ダッシュボード,既存深耕,Web,関東,中小,6,クロージング,3,失注,0,価格,西日本営業部,松本,560000,湊エレクトロニクス 統合ダッシュボード導入,
OPP-202406-00078,富士見物産,2024-06-19,2024-09-25,2024-07-24,製造,スマート勤怠,更新,紹介,中部,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,4590000,富士見物産 スマート勤怠導入,
OPP-202407-00079,さくらケミカル,2024-07-25,2025-01-06,2024-11-10,製造,統合ダッシュボード,既存深耕,紹介,関東,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,3320000,さくらケミカル 統合ダッシュボード導入,
OPP-202407-00080,さくらケミカル,2024-07-11,2024-12-01,2024-11-13,公共,クラウド経費,新規,展示会,関東,中堅,6,クロージング,3,失注,0,時期,西日本営業部,松本,3120000,さくらケミカル クラウド経費導入,
OPP-202407-00081,みなと商事,2024-07-09,2024-08-22,2024-07-29,流通,スマート勤怠,既存深耕,Web,関西,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,2080000,みなと商事 スマート勤怠導入,
OPP-202407-00082,大和精密,2024-07-25,2024-11-22,2024-11-13,製造,スマート勤怠,更新,展示会,関東,中小,6,クロージング,2,受注,100,,第一営業部,加藤,400000,大和精密 スマート勤怠導入,
OPP-202407-00083,さくらケミカル,2024-07-01,2024-11-25,2024-10-02,金融,クラウド経費,既存深耕,紹介,関東,大企業,6,クロージング,3,失注,0,価格,第一営業部,加藤,11640000,さくらケミカル クラウド経費導入,
OPP-202407-00084,青葉システムズ,2024-07-04,2024-12-16,2024-10-02,流通,スマート勤怠,新規,紹介,関東,大企業,6,クロージング,2,受注,100,,第一営業部,中村,6590000,青葉システムズ スマート勤怠導入,
OPP-202407-00085,北斗フーズ,2024-07-24,2024-12-27,2024-12-16,製造,スマート勤怠,新規,Web,中部,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,4890000,北斗フーズ スマート勤怠導入,
OPP-202407-00086,曙建設,2024-07-19,2024-11-03,2024-10-03,金融,統合ダッシュボード,新規,インバウンド,関東,中堅,6,クロージング,3,失注,0,価格,第一営業部,加藤,3590000,曙建設 統合ダッシュボード導入,
OPP-202407-00087,山田製作所,2024-07-03,2024-12-28,2024-07-14,製造,統合ダッシュボード,新規,インバウンド,中部,中堅,6,クロージング,2,受注,100,,第一営業部,小林,3300000,山田製作所 統合ダッシュボード導入,
OPP-202407-00088,つばさ運輸,2024-07-30,2024-09-19,2024-08-11,製造,クラウド経費,新規,展示会,関東,中小,6,クロージング,2,受注,100,,第一営業部,加藤,400000,つばさ運輸 クラウド経費導入,
OPP-202407-00089,湊エレクトロニクス,2024-07-08,2024-10-31,2024-07-21,流通,スマート勤怠,既存深耕,紹介,関東,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,3850000,湊エレクトロニクス スマート勤怠導入,
OPP-202407-00090,曙建設,2024-07-22,2024-09-23,2024-09-21,IT,スマート勤怠,既存深耕,展示会,関東,中小,6,クロージング,2,受注,100,,西日本営業部,松本,510000,曙建設 スマート勤怠導入,
OPP-202407-00091,さくらケミカル,2024-07-10,2024-12-17,2024-10-11,IT,クラウド経費,更新,Web,関西,中堅,6,クロージング,2,受注,100,,西日本営業部,松本,2580000,さくらケミカル クラウド経費導入,
OPP-202407-00092,富士見物産,2024-07-31,2025-01-11,2024-10-26,製造,統合ダッシュボード,新規,紹介,中部,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,4920000,富士見物産 統合ダッシュボード導入,
OPP-202407-00093,北斗フーズ,2024-07-05,2024-10-03,2024-09-22,製造,クラウド経費,既存深耕,インバウンド,関西,大企業,6,クロージング,3,失注,0,価格,第一営業部,加藤,10660000,北斗フーズ クラウド経費導入,
OPP-202407-00094,つばさ運輸,2024-07-26,2024-11-05,2024-09-29,製造,クラウド経費,既存深耕,インバウンド,関東,中小,6,クロージング,3,失注,0,競合,西日本営業部,松本,710000,つばさ運輸 クラウド経費導入,
OPP-202407-00095,大和精密,2024-07-26,2024-10-05,2024-09-30,製造,クラウド経費,既存深耕,インバウンド,関西,中堅,6,クロージング,2,受注,100,,第一営業部,中村,1750000,大和精密 クラウド経費導入,
OPP-202407-00096,富士見物産,2024-07-03,2024-08-09,2024-07-10,IT,統合ダッシュボード,既存深耕,紹介,関東,中堅,6,クロージング,2,受注,100,,第一営業部,中村,4650000,富士見物産 統合ダッシュボード導入,
OPP-202407-00097,山田製作所,2024-07-11,2024-08-14,2024-07-21,製造,統合ダッシュボード,既存深耕,展示会,関西,中堅,6,クロージング,2,受注,100,,第一営業部,中村,3800000,山田製作所 統合ダッシュボード導入,
OPP-202407-00098,青葉システムズ,2024-07-31,2025-01-04,2024-08-05,製造,スマート勤怠,新規,展示会,関東,中小,6,クロージング,2,受注,100,,第一営業部,中村,1910000,青葉システムズ スマート勤怠導入,
OPP-202407-00099,北斗フーズ,2024-07-17,2024-09-02,2024-08-21,製造,スマート勤怠,新規,Web,関東,中堅,6,クロージング,3,失注,0,競合,第一営業部,小林,3590000,北斗フーズ スマート勤怠導入,
OPP-202408-00100,山田製作所,2024-08-01,2025-01-26,2024-10-26,金融,統合ダッシュボード,新規,展示会,中部,中堅,6,クロージング,3,失注,0,価格,西日本営業部,山本,2800000,山田製作所 統合ダッシュボード導入,
OPP-202408-00101,富士見物産,2024-08-27,2024-10-07,2024-08-30,IT,クラウド経費,新規,展示会,関西,中小,6,クロージング,3,失注,0,価格,第一営業部,中村,1090000,富士見物産 クラウド経費導入,
OPP-202408-00102,富士見物産,2024-08-13,2024-12-15,2024-10-04,製造,クラウド経費,新規,紹介,中部,中小,6,クロージング,2,受注,100,,第一営業部,中村,1420000,富士見物産 クラウド経費導入,
OPP-202408-00103,北斗フーズ,2024-08-29,2024-11-13,2024-10-10,流通,クラウド経費,更新,Web,中部,中小,6,クロージング,2,受注,100,,第一営業部,加藤,560000,北斗フーズ クラウド経費導入,
OPP-202408-00104,曙建設,2024-08-22,2024-11-30,2024-08-30,公共,スマート勤怠,既存深耕,紹介,関西,中小,6,クロージング,3,失注,0,価格,第一営業部,小林,1930000,曙建設 スマート勤怠導入,
OPP-202408-00105,北斗フーズ,2024-08-13,2024-12-13,2024-10-25,IT,スマート勤怠,既存深耕,Web,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,松本,3330000,北斗フーズ スマート勤怠導入,
OPP-202408-00106,さくらケミカル,2024-08-20,2024-09-25,2024-09-21,流通,クラウド経費,既存深耕,Web,関東,中堅,6,クロージング,3,失注,0,競合,第一営業部,中村,3870000,さくらケミカル クラウド経費導入,
OPP-202408-00107,富士見物産,2024-08-09,2024-12-30,2024-10-30,製造,クラウド経費,既存深耕,インバウンド,関東,大企業,6,クロージング,3,失注,0,時期,第一営業部,中村,10260000,富士見物産 クラウド経費導入,
OPP-202408-00108,北斗フーズ,2024-08-29,2025-02-21,2025-01-18,公共,クラウド経費,新規,展示会,関東,中小,6,クロージング,2,受注,100,,第一営業部,加藤,630000,北斗フーズ クラウド経費導入,
OPP-202408-00109,大和精密,2024-08-20,2024-10-07,2024-10-03,流通,クラウド経費,既存深耕,紹介,関東,中堅,6,クロージング,2,受注,100,,第一営業部,小林,3640000,大和精密 クラウド経費導入,
OPP-202408-00110,湊エレクトロニクス,2024-08-12,2024-11-27,2024-09-23,金融,スマート勤怠,更新,紹介,九州,大企業,6,クロージング,2,受注,100,,第一営業部,中村,10260000,湊エレクトロニクス スマート勤怠導入,
OPP-202408-00111,大和精密,2024-08-08,2024-10-20,2024-08-28,IT,スマート勤怠,既存深耕,Web,関東,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,1870000,大和精密 スマート勤怠導入,
OPP-202408-00112,曙建設,2024-08-22,2024-11-13,2024-10-15,流通,統合ダッシュボード,新規,インバウンド,関東,中小,6,クロージング,3,失注,0,時期,西日本営業部,松本,370000,曙建設 統合ダッシュボード導入,
OPP-202408-00113,大和精密,2024-08-16,2025-01-05,2024-12-13,金融,スマート勤怠,新規,Web,関東,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,2040000,大和精密 スマート勤怠導入,
OPP-202408-00114,さくらケミカル,2024-08-20,2024-10-20,2024-09-05,公共,統合ダッシュボード,更新,展示会,関東,中堅,6,クロージング,2,受注,100,,第一営業部,小林,1720000,さくらケミカル 統合ダッシュボード導入,
OPP-202408-00115,曙建設,2024-08-02,2025-01-06,2024-11-30,流通,統合ダッシュボード,更新,Web,九州,中小,6,クロージング,3,失注,0,競合,第一営業部,中村,1080000,曙建設 統合ダッシュボード導入,
OPP-202409-00116,湊エレクトロニクス,2024-09-16,2024-12-28,2024-09-30,流通,スマート勤怠,既存深耕,展示会,関東,中堅,6,クロージング,2,受注,100,,西日本営業部,松本,3200000,湊エレクトロニクス スマート勤怠導入,
OPP-202409-00117,さくらケミカル,2024-09-05,2025-01-28,2024-11-16,公共,スマート勤怠,既存深耕,Web,関東,中堅,6,クロージング,3,失注,0,予算,第一営業部,加藤,4190000,さくらケミカル スマート勤怠導入,
OPP-202409-00118,青葉システムズ,2024-09-20,2024-10-31,2024-10-12,流通,統合ダッシュボード,既存深耕,紹介,関東,中堅,6,クロージング,2,受注,100,,第一営業部,中村,3420000,青葉システムズ 統合ダッシュボード導入,
OPP-202409-00119,湊エレクトロニクス,2024-09-17,2025-02-24,2025-02-09,製造,統合ダッシュボード,新規,紹介,関西,中小,6,クロージング,2,受注,100,,第一営業部,加藤,1060000,湊エレクトロニクス 統合ダッシュボード導入,
OPP-202409-00120,さくらケミカル,2024-09-16,2024-12-22,2024-11-30,公共,統合ダッシュボード,既存深耕,Web,関西,中堅,6,クロージング,3,失注,0,競合,第一営業部,小林,4690000,さくらケミカル 統合ダッシュボード導入,
OPP-202409-00121,湊エレクトロニクス,2024-09-02,2024-11-19,2024-10-13,金融,クラウド経費,更新,展示会,関西,大企業,6,クロージング,2,受注,100,,西日本営業部,山本,7280000,湊エレクトロニクス クラウド経費導入,
OPP-202409-00122,青葉システムズ,2024-09-05,2024-12-27,2024-11-06,流通,クラウド経費,既存深耕,インバウンド,中部,中小,6,クロージング,3,失注,0,競合,第一営業部,加藤,1100000,青葉システムズ クラウド経費導入,
OPP-202409-00123,さくらケミカル,2024-09-06,2024-12-16,2024-10-05,金融,クラウド経費,更新,Web,中部,大企業,6,クロージング,2,受注,100,,第一営業部,中村,6040000,さくらケミカル クラウド経費導入,
OPP-202409-00124,富士見物産,2024-09-25,2025-02-03,2024-11-02,製造,スマート勤怠,更新,Web,関東,大企業,6,クロージング,3,失注,0,価格,西日本営業部,松本,5940000,富士見物産 スマート勤怠導入,
